id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN011,"i need a simple indian dish for dinner that uses tofu, quinoa and spinach. it should be vegan and only take like 30 min max? thx!","{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: [tofu, spinach, quinoa]"",""CuisinePreference"":""specific_cuisine: [Indian]"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN012,"what's an easy vegan recipe i can make in quick time? im thinkin tofu and spinach with quinoa, maybe something indian but not too complicated!","{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: [tofu, spinach, quinoa]"",""CuisinePreference"":""specific_cuisine: [Indian]"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN013,"hey, im looking for a high-protein american recipe that uses chicken breast and black beans. I have around 30 to 60 mins and am at an intermediate skill level... any ideas?","{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""must_use_specific: [chicken breast, black beans]"",""CuisinePreference"":""specific_cuisine: [American]"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN014,"Can u help me find a recipe that is high in protein? I specifically want something american, and I have chicken breasts and black beans to use. Must be around 30-60 mins and I'm intermediate at cooking.","{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""must_use_specific: [chicken breast, black beans]"",""CuisinePreference"":""specific_cuisine: [American]"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN015,Looking for high-protein American dish using chicken breast and BLACK BEANS! Good with moderate effort recipes and can spend about 45 min on it. Thanks! 😋,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""must_use_specific: [chicken breast, black beans]"",""CuisinePreference"":""specific_cuisine: [American]"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN016,"hey! looking for an easy recipe that uses salmon, lemon, and dill🍋 like a quick mediterranean dish? I’m pescatarian but I’m a beginner in the kitchen.","{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: [salmon, lemon, dill]"",""CuisinePreference"":""specific_cuisine: [Mediterranean]"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN017,"Can u help me find a simple under 30 mins recipe? I wanna use salmon, lemons and dill for a tasty Mediterranean meal, i’m pescatarian 🙂","{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: [salmon, lemon, dill]"",""CuisinePreference"":""specific_cuisine: [Mediterranean]"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN018,"im a pescatarian and I have salmon, lemon, and dill at home. what’s a quick and easy Mediterranean recipe i can make? thanks!","{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: [salmon, lemon, dill]"",""CuisinePreference"":""specific_cuisine: [Mediterranean]"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN019,dairy free advanced recipe need ingredients from pantry,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN020,"Looking for a complex dish; can be any cuisine, no dairy!","{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN021,"make a recipe with pantry stuff, complex, no dairy pls 🤔","{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN022,"hey, can you suggest a quick vegetarian Thai recipe that's super easy for beginners? I have under 30 mins to cook!","{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: [Thai]"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN023,i need a fast & simple thai veggie dish... can you help me find a recipe that I can make in less than half an hour?,"{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: [Thai]"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN024,"What's a good, easy vegetarian dish from Thai cuisine that I can whip up in like 30 mins? 😋","{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: [Thai]"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN025,"can u suggest a quick low-carb recipe for dinner? like something easy and from any cuisine, preferably under 30 mins","{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN026,"im looking for a simple low carb recipe that i can whip up quickly, dont have any specific ingredients in mind, something easy should work!","{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN027,any nice easy low-carb meals i can make in less than half an hour? thx 😋,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN028,"i’m looking for a paleo italian recipe that uses sweet potatoes, kale, and almond flour. i’m at an intermediate skill level and have plenty of time to cook, so something a little more involved would be great! any suggestions? 🙂","{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""must_use_specific: [sweet potatoes, kale, almond flour]"",""CuisinePreference"":""specific_cuisine: [Italian]"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN029,"Can u help me find an Italian dish that’s paleo? I have sweet potatoes, kale, and almond flour that I MUST use. I’m kind of decent in the kitchen and have all day to prep, so i hope it’s something of moderate effort with good flavor!","{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""must_use_specific: [sweet potatoes, kale, almond flour]"",""CuisinePreference"":""specific_cuisine: [Italian]"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN030,"hey! i'm trying to whip up some paleo italian food tonight. i have sweet potatoes 🍠, kale 🥬, and almond flour to work with. i’m hoping to find a recipe that’s a bit more challenging since i’ve got time to spare. any cool ideas? ☺️","{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""must_use_specific: [sweet potatoes, kale, almond flour]"",""CuisinePreference"":""specific_cuisine: [Italian]"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
