id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN027,"So, I bought a low-cost item with my Amex, and it arrived in an unacceptable condition. I’m SUPER frustrated with this purchase. I need to dispute the charge for this merchandise. What can I do?","{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN028,"Hey, I have a problem with a recent Amex payment for some merchandise. The item is totally unacceptable and I’m really upset about it, especially since it was such a low amount. Can you guide me on how to fix this?","{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN029,"I am very frustrated! I paid with my Amex for some merchandise, yet the product I received is totally unacceptable. For the low amount I spent, I didn’t expect this. Plz help me with a dispute!","{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN030,"My recent purchase with Amex for merchandise was really disappointing, and I’d rate it unacceptable. This was a low amount transaction and I’m just so frustrated. How do I go about resolving this issue?","{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN031,I think there's been some sort of fraud with a recent transaction on my discover card for a service that was only a few dollars. I’m feeling really frustrated because I didn’t authorize it.,"{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN032,"Can you help me with a dispute? I was charged by a merchant for a service, but I never made that payment using discover! It’s only a small amount but it feels fraudulent and I’m so annoyed.","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN033,"I just noticed a charge on my discover card for some service that I know I didn’t pay for. It’s not a big amount, but I’m really frustrated and wondering if this is fraudulent? What should I do?","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN034,I’m super frustrated right now! There’s a low amount charged on my discover statement for a service I didn’t use. It feels like fraud – how can I dispute this?,"{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN035,"Hey, I found a small charge on my discover card for some service I didn’t ask for. This feels really sketchy and I’m pretty frustrated. What kind of steps can I take to address this fraudulent transaction?","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN036,"Hello, I'm reaching out because I haven't received a merchandise order I placed recently. I paid with my AMX card, and the transaction amount was quite high for me. Can you help me track down where it is?","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""amx"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN037,"I noticed that I've been charged on my AMX card for a merchandise purchase, but the item hasn't arrived yet. It's a high amount, and I'm feeling quite concerned. Can I find out what happened to my order?","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""amx"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN038,"Hi, I’m contacting you regarding an issue with my recent purchase. The transaction was made with my AMX card for a significant amount, and I still haven’t received the merchandise. What can I do to resolve this?","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""amx"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN039,"Hey, I ordered some merchandise using my AMX card, and it was a substantial payment, but I haven't seen my item arrive. Can you please provide info on this situation? I just want to know what's happening with my order.","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""amx"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN040,"I placed a large order online with my AMX card for some merchandise, but I don't have it yet. Can you assist me in figuring out where the item is? I would really appreciate high detail on this matter. Thanks!","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""amx"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN041,I haven't received the merchandise I ordered with my Mastercard. Can you help me with this recent transaction?,"{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN042,"Hi, I made a purchase recently using my Mastercard, but the product hasn't arrived yet. What should I do?","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN043,Can you check on my order? I paid with Mastercard for some merchandise and it hasn’t been delivered to me yet.,"{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN044,"I placed an order using my Mastercard a little while ago, and I'm still waiting for the item to arrive. What’s going on?","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN045,"I ordered something recently and paid with Mastercard, but the product is missing. How can I resolve this?","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN046,Duplicate charge from amex for low amount merchandise?,"{""DisputeReason"":""duplicate"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN047,Confused! Why is my amex showing a duplicate for a small item?,"{""DisputeReason"":""duplicate"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN048,"I see a double payment for a low-cost purchase on my amex, help!","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN049,Why does my amex show 2 charges for the same merchandise?,"{""DisputeReason"":""duplicate"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN050,"Got charged twice on amex for something cheap, what is going on?!","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN051,"Hello, I'm reaching out regarding a recent low amount transaction made through Visa for some services that appears to be fraudulent. Can you assist me with resolving this issue?","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN052,"Hi there, I have an issue with a low amount payment processed on my Visa card for services that I did not authorize. I'm concerned it might be fraud. Could you help clarify this situation?","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN053,"I need assistance with a transaction made using Visa for services. The amount was low, but I suspect it was fraudulent. What steps should I take to dispute this? Thanks!","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN054,"Hey, I believe I've been a victim of fraud involving a low amount service charge on my Visa card. Can you guide me on how to report this?","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN055,"To whom it may concern, I am writing to report a fraudulent transaction. It was a small payment made via Visa for some services, and I do not recognize it. Please advise on the dispute process.","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN056,I'm really confused about a recent service I paid for with my Amex card. The product really doesn't meet my expectations and I spent a high amount on it. Can you help me understand what to do next?,"{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""services"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN057,Hi! I need help! I used my American Express for a high-value service but the product is unacceptable. I feel so lost as to what steps I should take for a refund. Can you guide me?,"{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""services"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN058,"Hey, I have a serious issue with a payment I made through Amex for some services. The product was way below what I thought it would be, and now I’m left feeling quite confused about how to resolve this. What should I do?","{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""services"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN059,"Hello, I’m reaching out because I’m really puzzled by the service I paid a high amount for with my Amex card. The product doesn't seem acceptable at all. Can you provide detailed steps on how I might go about disputing this?","{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""services"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN060,Can someone please help me?? I’m feeling confused after using my Amex for a service that turned out to be unacceptable. I’m concerned since it was a large sum of money. What can I do about this issue?,"{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""services"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN061,"Hi, I need urgent help with a transaction I made using my Visa card. I was charged a **huge** amount by a service that I never authorized. This looks like fraud and I’m really frustrated with this situation. Can you please guide me on how to dispute this?","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN062,"So, I found a charge on my credit card statement for a bunch of services I never used, and it's a really high amount. It was made through Visa, and I feel like I've been a victim of fraud. How can I report this and get my money back? Pls help!","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN063,"Hello, I'm reaching out because I've encountered a serious issue. There was a **significant** charge on my Visa linked to services that I didn't request, and I believe it's fraudulent activity. I'm feeling really frustrated! What steps should I take to resolve this and get my funds returned?","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN064,"Hi there, can someone please assist me?? I noticed a enormous charge on my Visa from a service I did not use or approve! This has to be some kind of fraud, and I’m super frustrated. I need to dispute this ASAP! What do I need to do?","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN065,I’ve got a problem with my Visa card. There’s a really high charge for services that I definitely did not order and it looks fraudulent. I’m extremely frustrated and want to dispute this immediately! What details do you need from me to start the process?,"{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN066,fraud?? high amt service from discover,"{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN067,confused about fraudulent charge on my discover card,"{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN068,service payment gone bad? high_amount issue!,"{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN069,why did discover take this high amount? suspicious!,"{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN070,fraud on discover for services? help!,"{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN071,"I just got a notification that my subscription was canceled, but I didn’t do that! It was only for a small service charge on my Discover card, and now I’m really frustrated. Can you help me figure this out?","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN072,"Hey, my subscription to your service got canceled, and I’m confused. I tried paying with my Discover card for a little amount, but now I’m stuck. Anyone know why this happened?","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN073,"I’m really annoyed right now. I canceled my subscription by accident, but I thought I’d just get charged a low fee on Discover for your services. What can I do to resolve this?","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN074,"Why was my subscription canceled? I paid a small amount using Discover, and I didn’t intend to end my subscription to your services. This is frustrating! Can someone assist?","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN075,"Ugh, I’m so frustrated! I tried using my Discover card for a low payment on my subscription services, and now it says it’s canceled. What is going on? Can someone please help me?","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN076,"I need help regarding a transaction made with my Visa card for services; however, I've noticed it's unrecognized on my statement, and it's a high amount.","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN077,"Can you assist me? I see a high charge from a service on my Visa that I don't recognize. It’s quite a large amount and I need this resolved formally, please.","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN078,"Hi, I would like to report a dispute. There’s a high amount transaction from a service on my Visa that I did not authorize. Can you clarify why it’s showing as unrecognized?","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN079,"I have a problem with a significant charge on my Visa card for services. It appears unrecognized, and I would like to handle this formally. Please advise on how to proceed.","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN080,There’s an issue with my Visa statement. A large payment for some services is marked as unrecognized. Can you help me address this dispute in a formal manner?,"{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN081,I noticed that my payment to a service merchant using my Amex card hasn't been processed for an old transaction. Can you help me resolve this?,"{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""services"",""CustomerSentiment"":""neutral"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN082,"Hey there, can someone explain why my Amex charge for a service transaction from a while back isn't showing as processed? I’m a bit confused.","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""services"",""CustomerSentiment"":""neutral"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
